'flickr', 'using_id', 'img_loc', 'the_image', 'img_width', 'img_height', 'crop_coords', 'do_img_at', 'full_id', 'r_min', 'r_max', 'r_mean', 'r_mode', 'g_min', 'g_max', 'g_mean', 'g_mode', 'b_min', 'b_max', 'b_mean', 'b_mode', 'center_rgb', 'post_num_regions', 'post_top_hsl', 'post_top_count', 'post_2_hsl', 'post_2_count', 'post_3_hsl', 'post_3_count', 'post_4_hsl', 'post_4_count', 'post_5_hsl', 'post_5_count', 'post_6_hsl', 'post_6_count', 'center_hsl', 'full_red_count', 'visib_red_count', 'vivid_red_count', 'full_orange_count', 'visib_orange_count', 'vivid_orange_count', 'full_yellow_count', 'visib_yellow_count', 'vivid_yellow_count', 'full_green_count', 'visib_green_count', 'vivid_green_count', 'full_cyan_count', 'visib_cyan_count', 'vivid_cyan_count', 'full_blue_count', 'visib_blue_count', 'vivid_blue_count', 'full_purple_count', 'visib_purple_count', 'vivid_purple_count', 'full_mag_count', 'visib_mag_count', 'vivid_mag_count', 'vivid_count', 'sat_min_val', 'sat_25_val', 'sat_50_val', 'sat_75_val', 'sat_max_val', 'hue_mean_val', 'sat_mean_val', 'light_mean_val', 'light_max_val', 'light_max_count', 'light_min_val', 'light_min_count', 'light_25_value', 'light_50_value', 'light_75_value', 'gen_bright_count', 'gen_dark_count', 'common_hsl_1_val', 'common_hsl_1_count', 'common_hsl_2_val', 'common_hsl_2_count', 'common_hsl_3_val', 'common_hsl_3_count', 'common_hsl_4_val', 'common_hsl_4_count'
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",51278877462,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1539x2048 at 0x214F3B04A50>,1539,2048,"[(0, 0, 507, 675), (0, 675, 507, 1372), (0, 1372, 507, 2048), (507, 0, 1031, 675), (507, 675, 1031, 1372), (507, 1372, 1031, 2048), (1031, 0, 1539, 675), (1031, 675, 1539, 1372), (1031, 1372, 1539, 2048)]",1698546331.2529156,5127887746200,0.0,255.0,118.33762951033545,103848,0.0,255.0,111.12071461023798,120398,0.0,255.0,121.38600235034926,93032,"(66, 61, 72)",277,"(39.000000000000064, 0.26315789473684187, 0.8509803921568627)",1855729,"(250.43478260869566, 0.20353982300884954, 0.22156862745098038)",378039,"(247.05882352941174, 0.31481481481481477, 0.21176470588235297)",210534,"(53.68421052631581, 0.575757575757576, 0.9352941176470588)",172839,"(249.60000000000002, 0.1773049645390071, 0.27647058823529413)",53328,"(232.94117647058826, 0.3669064748201439, 0.27254901960784317)",19669,"[267.2727272727273, 0.0827067669172932, 0.2607843137254902]",187373,37,4,351362,19,1,698602,2,0,321,0,0,16820,166,0,193579,17193,0,1407230,15002,0,296585,5,0,5,0.0,0.10303030303030304,0.2040816326530612,0.32432432432432423,1.0,177.32296258225085,0.23506658942009337,0.4627017276107161,1.0,19666,0.041176470588235294,53,0.2588235294117647,0.3411764705882353,0.7313725490196079,411303,66291,"(252.00000000000003, 0.30973451327433627, 0.2215686274509804)",17197,"(254.21052631578945, 0.3584905660377359, 0.20784313725490194)",16906,"(252.72727272727272, 0.27731092436974786, 0.23333333333333334)",16633,"(253.125, 0.2580645161290323, 0.2431372549019608)",15613
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52617833408,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x26365E8D0D0>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698546919.068595,5261783340800,46.0,255.0,170.2554475289804,121947,53.0,255.0,162.14083353678384,144966,0.0,255.0,144.52588639435945,143390,"(199, 197, 179)",76,"(60.0, 0.06358381502890183, 0.6607843137254902)",6942759,"(107.99999999999996, 0.07142857142857147, 0.27450980392156865)",36396,"(44.04255319148936, 0.45631067961165045, 0.596078431372549)",9101,"(31.111111111111104, 0.15606936416184983, 0.6607843137254902)",4964,"(50.76923076923081, 1.0, 0.9745098039215686)",4410,"(97.49999999999987, 0.09523809523809526, 0.8352941176470587)",2676,"[54.00000000000003, 0.15151515151515157, 0.7411764705882353]",8842,484,0,1849138,8148,0,4938237,89983,0,269909,0,0,10843,0,0,119,0,0,287,0,0,513,35,0,0,0.0,0.08108108108108104,0.11382113821138212,0.21848739495798314,1.0,46.70563042162249,0.18213737593561094,0.6181269000904572,0.9980392156862745,10922,0.13725490196078433,1,0.5078431372549019,0.5941176470588235,0.7392156862745098,453011,1,"(32.14285714285713, 0.2456140350877195, 0.7764705882352941)",8038,"(41.99999999999997, 0.11235955056179768, 0.6509803921568628)",5519,"(32.14285714285713, 0.25000000000000017, 0.7803921568627451)",5318,"(34.28571428571427, 0.2456140350877195, 0.7764705882352941)",5089
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52412187541,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x28B8A0B66D0>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698556819.8987765,5241218754108,28.0,228.0,111.45833422404417,48533,110.0,225.0,152.2734452904451,48068,80.0,214.0,130.76118303164435,42005,"(85, 137, 114)",2,"(156.66666666666666, 0.24770642201834855, 0.4274509803921569)",627355,"(91.76470588235293, 0.09714285714285711, 0.6568627450980392)",167890,,0,,0,,0,,0,"[153.46153846153848, 0.23423423423423423, 0.43529411764705883]",0,0,0,0,0,0,153675,0,0,14492,0,0,627078,79,0,0,0,0,0,0,0,0,0,0,0,0.05714285714285721,0.1936758893280632,0.2184873949579832,0.24170616113744073,0.5971223021582733,132.2720666319794,0.21165428510078735,0.5126315025126676,0.8666666666666667,10900,0.27254901960784317,3,0.4254901960784314,0.4509803921568628,0.49215686274509807,16918,0,"(152.3076923076923, 0.23636363636363636, 0.43137254901960786)",15000,"(153.46153846153848, 0.23423423423423423, 0.43529411764705883)",14436,"(152.83018867924528, 0.2442396313364055, 0.4254901960784314)",14117,"(152.94117647058826, 0.22666666666666663, 0.4411764705882353)",13760,8
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52412187541,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x28B8A0B66D0>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698556839.3777745,5241218754109,0.0,228.0,144.06716222555704,30217,0.0,225.0,143.89031871797462,28651,0.0,214.0,132.66316380139284,29163,"(56, 61, 53)",1,"(64.99999999999999, 0.08955223880597003, 0.7372549019607844)",771654,,0,,0,,0,,0,,0,"[97.50000000000003, 0.07017543859649122, 0.2235294117647059]",12754,0,0,79917,0,0,423985,12,0,205503,0,0,49317,0,0,32,0,0,1,0,0,145,0,0,0,0.0,0.07042253521126755,0.12244897959183693,0.16256157635467974,1.0,73.19009169134559,0.12461311382104626,0.5468711467097132,0.8666666666666667,10710,0.0,12,0.2823529411764706,0.5549019607843138,0.8098039215686275,15861,859,"(110.76923076923077, 0.09923664122137403, 0.2568627450980392)",9267,"(107.14285714285714, 0.11111111111111116, 0.24705882352941178)",8652,"(106.15384615384617, 0.09629629629629632, 0.2647058823529412)",8620,"(50.00000000000002, 0.13636363636363624, 0.8274509803921568)",8400,9
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",51294206192,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x28BFFAE0650>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698556862.535248,5129420619200,0.0,255.0,127.85301957307038,149457,0.0,255.0,120.20106633504231,143038,0.0,255.0,110.82467948065863,144986,"(118, 117, 112)",211,"(43.33333333333333, 0.1782178217821782, 0.39607843137254906)",6377906,"(33.33333333333332, 0.2465753424657533, 0.7137254901960784)",305915,"(0.0, 0.0, 0.10588235294117647)",24481,"(17.14285714285717, 0.11602209944751381, 0.3549019607843137)",14230,"(37.64705882352942, 0.4678899082568806, 0.7862745098039216)",14204,"(5.714285714285734, 0.09090909090909095, 0.45294117647058824)",13795,"[49.9999999999999, 0.02608695652173916, 0.45098039215686275]",793562,1,0,3332600,8953,0,2438433,4310,0,86248,0,0,232914,0,0,82784,0,0,66027,0,0,45320,0,0,0,0.0,0.02834008097165993,0.09174311926605504,0.16666666666666666,1.0,45.019689042224165,0.14329560756608717,0.4682849573760072,1.0,63903,0.0,7370,0.34705882352941175,0.4274509803921569,0.5450980392156863,550686,183980,"(0.0, 0.0, 1.0)",29507,"(28.125000000000004, 0.16666666666666666, 0.3764705882352941)",26842,"(26.249999999999986, 0.16326530612244897, 0.3843137254901961)",26165,"(27.272727272727252, 0.17460317460317457, 0.37058823529411766)",25652,9
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",51294206192,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x28BFFAE0650>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698557080.4959657,5129420619201,0.0,255.0,126.93125032472594,18018,0.0,255.0,116.1375954694238,17367,0.0,255.0,105.12186444640723,17971,"(59, 59, 53)",24,"(41.666666666666664, 0.1764705882352941, 0.4)",694950,"(34.05405405405406, 0.2483221476510067, 0.7078431372549019)",26970,"(37.64705882352942, 0.4678899082568806, 0.7862745098039216)",14204,"(0.0, 0.0, 0.1450980392156863)",8659,"(46.666666666666664, 0.28125000000000006, 0.12549019607843137)",3320,"(38.18181818181817, 0.11340206185567007, 0.19019607843137254)",2284,"[60.0, 0.05357142857142857, 0.2196078431372549]",64751,0,0,532229,97,0,114631,293,0,4617,0,0,14468,0,0,11326,0,0,22827,0,0,5031,0,0,0,0.0,0.06995884773662556,0.1137724550898203,0.1592920353982301,1.0,43.37644415355191,0.13340053450612283,0.4550632133146292,1.0,2398,0.0,215,0.3568627450980392,0.43137254901960786,0.5431372549019609,14754,12342,"(31.199999999999996, 0.11961722488038276, 0.40980392156862744)",5590,"(31.200000000000017, 0.11848341232227494, 0.4137254901960784)",5478,"(0.0, 0.0, 0.19607843137254902)",5293,"(30.0, 0.12621359223300968, 0.403921568627451)",5285,1
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",51294206192,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x28BFFAE0650>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698557103.391168,5129420619202,0.0,241.0,156.58579576932763,20588,0.0,240.0,152.90117098967514,19783,0.0,237.0,147.60189498866785,17984,"(234, 233, 227)",8,"(46.66666666666671, 0.06976744186046507, 0.7470588235294118)",568513,"(225.00000000000003, 0.019999999999999997, 0.3921568627450981)",216629,"(60.0, 0.0588235294117649, 0.8666666666666667)",4204,"(32.72727272727272, 0.1067961165048544, 0.2019607843137255)",1461,"(194.99999999999994, 0.03076923076923077, 0.2549019607843137)",1154,"(35.45454545454546, 0.13580246913580243, 0.3176470588235294)",1028,"[51.428571428571466, 0.14285714285714277, 0.9039215686274509]",137704,0,0,189568,0,0,403595,5,0,9109,0,0,9981,0,0,11865,0,0,22037,0,0,10341,0,0,0,0.0,0.008771929824561374,0.0630630630630631,0.1111111111111111,1.0,52.82405584052845,0.06833933616308731,0.5964670947704187,0.9372549019607843,72,0.041176470588235294,15,0.41960784313725485,0.5529411764705883,0.8313725490196078,169934,344,"(0.0, 0.0, 0.5647058823529412)",13338,"(0.0, 0.0, 0.5607843137254902)",6850,"(0.0, 0.0, 0.5568627450980392)",6697,"(0.0, 0.0, 0.5529411764705883)",6635,2
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",51294206192,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x28BFFAE0650>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698557124.4049356,5129420619203,0.0,210.0,113.1886419080245,25854,0.0,210.0,109.05365799854667,25616,0.0,204.0,103.96184989099969,24409,"(118, 115, 109)",8,"(71.99999999999993, 0.04761904761904772, 0.7941176470588236)",729060,"(60.0, 0.016, 0.4901960784313726)",36006,"(39.999999999999964, 0.060402684563758365, 0.29215686274509806)",1730,"(30.0, 0.03614457831325305, 0.3254901960784314)",1607,"(0.0, 0.011235955056179815, 0.34901960784313724)",621,"(33.333333333333336, 0.20610687022900767, 0.2568627450980392)",598,"[40.0, 0.039647577092511065, 0.44509803921568625]",37474,0,0,325117,1,0,394916,15,0,1223,0,0,222,0,0,98,0,0,789,0,0,10801,0,0,0,0.0,0.013100436681222785,0.04072398190045247,0.06735751295336787,1.0,42.486554539766544,0.04918521838345854,0.4257598395425854,0.8117647058823529,79,0.0,1,0.3686274509803922,0.4254901960784314,0.49215686274509807,0,175,"(27.272727272727284, 0.05759162303664916, 0.37450980392156863)",9694,"(23.99999999999998, 0.05154639175257736, 0.3803921568627451)",9401,"(23.99999999999998, 0.05319148936170216, 0.3686274509803922)",9266,"(30.00000000000004, 0.05102040816326535, 0.38431372549019605)",8770,3
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",51294206192,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x28BFFAE0650>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698557143.9659252,5129420619204,0.0,255.0,174.1234576306231,30048,0.0,255.0,161.2631007628795,24971,0.0,255.0,147.71139805768937,17020,"(217, 205, 195)",16,"(27.272727272727245, 0.24444444444444455, 0.8235294117647058)",477614,"(33.1578947368421, 0.18095238095238092, 0.4117647058823529)",157779,"(36.73469387755104, 0.4336283185840708, 0.7784313725490196)",122000,"(17.14285714285717, 0.11602209944751381, 0.3549019607843137)",14230,"(18.000000000000007, 0.19685039370078738, 0.5019607843137255)",4398,"(47.142857142857125, 0.09589041095890406, 0.28627450980392155)",3585,"[27.272727272727323, 0.22448979591836743, 0.807843137254902]",55107,0,0,550745,1678,0,178522,557,0,2652,0,0,2630,0,0,120,0,0,1546,0,0,1857,0,0,0,0.0,0.10382513661202196,0.16230366492146597,0.3263157894736842,1.0,34.10131315018028,0.24063670454664488,0.6310298204576574,1.0,25529,0.0,3,0.41764705882352937,0.6411764705882352,0.8215686274509804,131869,1069,"(0.0, 0.0, 1.0)",16829,"(26.000000000000004, 0.15463917525773194, 0.3803921568627451)",5553,"(25.161290322580637, 0.16230366492146597, 0.37450980392156863)",5452,"(23.999999999999993, 0.15151515151515155, 0.38823529411764707)",5265,4
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",51294206192,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x28BFFAE0650>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698557165.6570125,5129420619205,0.0,246.0,121.52837143363459,22517,0.0,241.0,113.63831050981686,19027,0.0,242.0,104.52222283329361,21331,"(115, 114, 107)",9,"(25.999999999999986, 0.16483516483516486, 0.3568627450980392)",808951,"(54.285714285714285, 0.24705882352941178, 0.16666666666666669)",3236,"(21.818181818181827, 0.15714285714285708, 0.27450980392156865)",1494,"(57.692307692307686, 0.32500000000000007, 0.1568627450980392)",964,"(32.57142857142857, 0.2991452991452991, 0.22941176470588237)",936,"(23.636363636363633, 0.25984251968503935, 0.24901960784313726)",821,"[52.50000000000002, 0.036036036036036036, 0.43529411764705883]",72561,0,0,436152,113,0,270744,310,0,12582,0,0,18946,0,0,1849,0,0,1706,0,0,3695,0,0,0,0.0,0.025210084033613474,0.09090909090909086,0.138755980861244,1.0,40.08562693156609,0.09691007050706844,0.44336375869773265,0.9450980392156862,924,0.0,2,0.3647058823529412,0.43529411764705883,0.5019607843137255,7965,1873,"(60.0, 0.007874015748031468, 0.4980392156862745)",7324,"(60.0, 0.007874015748031468, 0.5019607843137255)",7154,"(60.0, 0.007936507936507964, 0.49411764705882355)",6912,"(60.0, 0.007936507936507908, 0.5058823529411764)",6392,5
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",51294206192,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x28BFFAE0650>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698557187.4619546,5129420619206,21.0,249.0,105.36694451371729,29932,0.0,255.0,102.87961514530922,28244,0.0,248.0,98.65065078681347,25641,"(106, 105, 102)",5,"(60.0, 0.011857707509881436, 0.49607843137254903)",786591,"(97.50000000000007, 0.1428571428571428, 0.8901960784313725)",3278,"(45.00000000000011, 0.02000000000000007, 0.607843137254902)",2872,"(22.500000000000025, 0.057971014492753624, 0.27058823529411763)",681,"(46.666666666666664, 0.3103448275862069, 0.17058823529411765)",540,,0,"[44.999999999999844, 0.019230769230769232, 0.40784313725490196]",171622,0,0,157486,0,0,432268,14,0,12445,0,0,8337,0,0,191,0,0,2562,0,0,9051,0,0,0,0.0,0.008547008547008576,0.016129032258064516,0.06145251396648047,1.0,44.218935544923895,0.04196829338835847,0.4001373503774643,0.9862745098039216,824,0.041176470588235294,32,0.3431372549019608,0.4117647058823529,0.4549019607843137,2325,826,"(60.0, 0.01321585903083702, 0.44509803921568625)",16234,"(60.0, 0.01333333333333335, 0.4411764705882353)",15837,"(60.0, 0.008695652173913012, 0.45098039215686275)",15461,"(60.0, 0.009009009009008978, 0.43529411764705883)",15364,6
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",51294206192,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x28BFFAE0650>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698557207.4395556,5129420619207,50.0,255.0,166.08138613270583,33804,0.0,255.0,148.70763257676487,26182,0.0,255.0,129.51126810076107,23995,"(115, 96, 82)",22,"(28.125000000000004, 0.15841584158415842, 0.396078431372549)",530753,"(33.60000000000002, 0.11848341232227486, 0.5862745098039215)",177697,"(5.714285714285734, 0.09090909090909095, 0.45294117647058824)",13728,"(40.0, 0.23529411764705888, 0.8)",11790,"(48.00000000000007, 0.7142857142857154, 0.9862745098039216)",11315,"(29.99999999999994, 0.0833333333333332, 0.6705882352941177)",7051,"[25.454545454545443, 0.16751269035532992, 0.3862745098039216]",6518,0,0,565057,4158,0,198220,2212,0,206,0,0,268,0,0,31,0,0,91,0,0,502,0,0,0,0.0,0.16666666666666669,0.22292993630573243,0.4799999999999999,1.0,32.59690868809656,0.33692382828960565,0.5795927961620675,1.0,16683,0.09803921568627451,8,0.3764705882352941,0.5352941176470588,0.8235294117647058,148775,637,"(27.272727272727252, 0.17460317460317457, 0.37058823529411766)",9751,"(28.125000000000004, 0.16666666666666666, 0.3764705882352941)",9496,"(28.235294117647054, 0.1827956989247312, 0.3647058823529412)",8978,"(26.249999999999986, 0.16326530612244897, 0.3843137254901961)",8595,7
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",51294206192,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x28BFFAE0650>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698557230.7608547,5129420619208,0.0,255.0,117.8370024332124,41162,0.0,255.0,106.68341454520305,38968,0.0,255.0,93.97095737791498,23045,"(87, 72, 66)",45,"(27.00000000000003, 0.09009009009009009, 0.43529411764705883)",721551,"(60.0, 0.18518518518518515, 0.1588235294117647)",11935,"(36.66666666666666, 0.13432835820895522, 0.2627450980392157)",9086,"(48.0, 0.09259259259259257, 0.21176470588235297)",7517,"(49.41176470588235, 0.6296296296296303, 0.8941176470588235)",3492,"(60.0, 0.17647058823529413, 0.13333333333333333)",2997,"[17.142857142857128, 0.13725490196078427, 0.30000000000000004]",36706,1,0,550566,2906,0,195735,876,0,4475,0,0,4603,0,0,1102,0,0,581,0,0,1477,0,0,0,0.0,0.07906976744186045,0.15428571428571422,0.22891566265060245,1.0,35.07643193534291,0.21430148658266854,0.41549016279235224,1.0,3923,0.0,975,0.29215686274509806,0.3862745098039216,0.46862745098039216,49673,32814,"(60.0, 1.0, 0.9745098039215686)",6428,"(25.16129032258066, 0.2262773722627737, 0.26862745098039215)",5927,"(26.249999999999993, 0.24242424242424246, 0.25882352941176473)",5779,"(60.0, 1.0, 0.9725490196078431)",5505,8
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",51294206192,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2304x3072 at 0x28BFFAE0650>,2304,3072,"[(0, 0, 760, 1013), (0, 1013, 760, 2058), (0, 2058, 760, 3072), (760, 0, 1543, 1013), (760, 1013, 1543, 2058), (760, 2058, 1543, 3072), (1543, 0, 2304, 1013), (1543, 1013, 2304, 2058), (1543, 2058, 2304, 3072)]",1698557255.424012,5129420619209,0.0,255.0,68.25848890824126,53124,0.0,255.0,69.75856277554448,51614,0.0,255.0,65.51046323870543,48193,"(50, 56, 53)",87,"(41.53846153846153, 0.05726872246696034, 0.44509803921568625)",607512,"(0.0, 0.0, 0.10588235294117647)",24481,"(70.909090909091, 0.08661417322834658, 0.7509803921568627)",23341,"(68.0, 0.26315789473684215, 0.11176470588235293)",8895,"(105.00000000000004, 0.3076923076923081, 0.9490196078431372)",6737,"(60.0, 0.24528301886792458, 0.10392156862745099)",6392,"[150.00000000000003, 0.05660377358490566, 0.20784313725490194]",211119,0,0,25680,0,0,249802,28,0,38939,0,0,173459,0,0,56202,0,0,13888,0,0,2565,0,0,0,0.0,0.0,0.042735042735042764,0.10924369747899162,1.0,81.09309056824725,0.11107287907810375,0.2644876879442617,1.0,15369,0.0,6174,0.16666666666666669,0.2196078431372549,0.33529411764705885,25391,133900,"(154.2857142857143, 0.08235294117647053, 0.16666666666666669)",19954,"(153.33333333333334, 0.11688311688311691, 0.15098039215686276)",19035,"(145.7142857142857, 0.07526881720430102, 0.1823529411764706)",18392,"(0.0, 0.0, 0.13333333333333333)",15786,9
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52410368989,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1539x2048 at 0x28B85F5A010>,1539,2048,"[(0, 0, 507, 675), (0, 675, 507, 1372), (0, 1372, 507, 2048), (507, 0, 1031, 675), (507, 675, 1031, 1372), (507, 1372, 1031, 2048), (1031, 0, 1539, 675), (1031, 675, 1539, 1372), (1031, 1372, 1539, 2048)]",1698557285.0026522,5241036898900,0.0,255.0,174.79316894848523,92104,0.0,255.0,168.65377401112735,102674,0.0,255.0,161.9562774122807,52024,"(66, 68, 72)",330,"(314.1176470588235, 0.22666666666666657, 0.8529411764705882)",1042299,"(32.999999999999964, 0.08064516129032256, 0.4862745098039216)",683796,"(9.999999999999979, 0.0428571428571428, 0.27450980392156865)",292915,"(165.00000000000009, 0.13043478260869582, 0.8196078431372549)",232114,"(60.0, 0.04065040650406512, 0.7588235294117647)",92127,"(120.0, 0.14285714285714632, 0.9862745098039216)",89397,"[220.00000000000006, 0.04347826086956516, 0.2705882352941177]",539227,67,0,914262,11,0,1054141,13,0,215235,8,0,169628,1,0,81173,294,0,104253,414,0,73953,5,0,0,0.0,0.034482758620689655,0.08108108108108099,0.21518987341772147,1.0,75.30830804369829,0.1709328550784262,0.6615831592444484,1.0,102642,0.0,26,0.5411764705882354,0.6745098039215687,0.7901960784313726,499079,1195,"(0.0, 0.0, 1.0)",38184,"(60.0, 1.0, 0.9980392156862745)",10256,"(60.0, 1.0, 0.996078431372549)",7456,"(0.0, 0.0, 0.1803921568627451)",3426,9
"[FlickrAPI for key ""82fbf72fad4735faa2b9652df0961703""]",52410368989,current_img.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1539x2048 at 0x28B85F5A010>,1539,2048,"[(0, 0, 507, 675), (0, 675, 507, 1372), (0, 1372, 507, 2048), (507, 0, 1031, 675), (507, 675, 1031, 1372), (507, 1372, 1031, 2048), (1031, 0, 1539, 675), (1031, 675, 1539, 1372), (1031, 1372, 1539, 2048)]",1698557415.4055603,5241036898901,74.0,255.0,204.2214245014245,22116,74.0,255.0,204.8020074512382,22400,70.0,255.0,194.55663671561106,14061,"(236, 231, 212)",84,"(60.0, 0.14285714285714632, 0.9862745098039216)",89057,"(163.63636363636357, 0.11827956989247333, 0.8176470588235294)",85005,"(99.23076923076925, 0.20312500000000017, 0.7490196078431373)",38350,"(346.6666666666667, 0.14285714285714277, 0.7529411764705882)",19360,"(169.41176470588238, 0.13821138211382106, 0.7588235294117647)",7875,"(32.72727272727272, 0.215686274509804, 0.6)",6924,"[47.49999999999997, 0.38709677419354854, 0.8784313725490196]",17588,0,0,13786,0,0,152632,0,0,64858,0,0,57832,0,0,9143,294,0,20154,413,0,6232,5,0,0,0.0,0.11111111111111092,0.2032520325203252,0.4090909090909091,1.0,107.87969415946861,0.31007540364991426,0.7858627293418645,1.0,18134,0.2823529411764706,1,0.7078431372549019,0.7901960784313725,0.8686274509803922,102029,0,"(0.0, 0.0, 1.0)",7992,"(60.0, 1.0, 0.9980392156862745)",1596,"(60.0, 1.0, 0.996078431372549)",832,"(180.0, 1.0, 0.9980392156862745)",726,1
